iter	Passed	Remaining
1230	127700	2984410
1231	127815	2984582
1232	127924	2984601
1233	128019	2984274
1234	128130	2984347
1235	128224	2984014
1236	128340	2984199
1237	128439	2983986
1238	128555	2984161
1239	128670	2984328
1240	128768	2984076
1241	128888	2984362
1242	128992	2984255
1243	129112	2984524
1244	129225	2984644
1245	129343	2984864
1246	129453	2984901
1247	129545	2984531
1248	129657	2984608
1249	129756	2984390
1250	129873	2984596
1251	129978	2984523
1252	130132	2985559
1253	130247	2985712
1254	130346	2985497
1255	130465	2985755
1256	130572	2985712
1257	130668	2985442
1258	130788	2985700
1259	130898	2985735
1260	131009	2985793
1261	131105	2985510
1262	131226	2985791
1263	131347	2986085
1264	131460	2986178
1265	131558	2985936
1266	131684	2986337
1267	131797	2986437
1268	131893	2986149
1269	132025	2986686
1270	132125	2986482
1271	132240	2986636
1272	132340	2986438
1273	132458	2986647
1274	132566	2986647
1275	132675	2986648
1276	132806	2987169
1277	132904	2986918
1278	132988	2986371
1279	133105	2986554
1280	133205	2986362
1281	133328	2986685
1282	133420	2986312
1283	133539	2986537
1284	133635	2986255
1285	133751	2986431
1286	133853	2986274
1287	133973	2986524
1288	134068	2986214
1289	134192	2986566
1290	134286	2986230
1291	134410	2986575
1292	134527	2986767
1293	134641	2986884
1294	134735	2986540
1295	134861	2986939
1296	134979	2987131
1297	135079	2986943
1298	135198	2987169
1299	135300	2987011
1300	135394	2986702
1301	135514	2986944
1302	135605	2986555
1303	135724	2986782
1304	135847	2987076
1305	135947	2986888
1306	136067	2987135
1307	136175	2987113
1308	136277	2986960
1309	136372	2986659
1310	136499	2987056
1311	136597	2986811
1312	136738	2987529
1313	136852	2987639
1314	136968	2987794
1315	137072	2987670
1316	137190	2987883
1317	137303	2987967
1318	137396	2987614
1319	137526	2988085
1320	137618	2987708
1321	137735	2987876
1322	137844	2987880
1323	137937	2987544
1324	138076	2988177
1325	138171	2987877
1326	138294	2988176
1327	138392	2987944
1328	138511	2988165
1329	138629	2988349
1330	138737	2988330
1331	138833	2988042
1332	138955	2988329
1333	139065	2988351
1334	139185	2988579
1335	139299	2988680
1336	139415	2988834
1337	139529	2988939
1338	139626	2988673
1339	139764	2989293
1340	139882	2989484
1341	139967	2988972
1342	140111	2989715
1343	140228	2989878
1344	140318	2989469
1345	140439	2989711
1346	140540	2989528
1347	140655	2989658
1348	140764	2989655
1349	140890	2990005
1350	140993	2989882
1351	141098	2989787
1352	141212	2989878
1353	141334	2990161
1354	141452	2990342
1355	141574	2990602
1356	141690	2990754
1357	141790	2990538
1358	141905	2990669
1359	142025	2990892
1360	142126	2990717
1361	142249	2991000
1362	142346	2990731
1363	142459	2990813
1364	142551	2990452
1365	142693	2991131
1366	142789	2990854
1367	142930	2991504
1368	143041	2991546
1369	143167	2991894
1370	143288	2992120
1371	143404	2992262
1372	143513	2992244
1373	143633	2992468
1374	143729	2992184
1375	143850	2992416
1376	143956	2992353
1377	144053	2992093
1378	144177	2992387
1379	144300	2992656
1380	144425	2992991
1381	144551	2993315
1382	144652	2993145
1383	144751	2992921
1384	144881	2993342
1385	144993	2993400
1386	145096	2993262
1387	145219	2993529
1388	145339	2993739
1389	145439	2993546
1390	145569	2993967
1391	145667	2993714
1392	145795	2994095
1393	145896	2993905
1394	146016	2994124
1395	146133	2994268
1396	146231	2994039
1397	146346	2994136
1398	146442	2993846
1399	146573	2994290
1400	146673	2994080
